127.0.0.1 - - [11/Jan/2018:12:57:03 +0530] "GET /solution-01-lebens.com/images/gallery-img2.jpg HTTP/1.1" 200 121211
127.0.0.1 - - [11/Jan/2018:12:57:03 +0530] "GET /solution-01-lebens.com/images/gallery-img1.jpg HTTP/1.1" 200 279707
127.0.0.1 - - [11/Jan/2018:12:57:03 +0530] "GET /solution-01-lebens.com/images/gallery-img4.jpg HTTP/1.1" 200 131955
127.0.0.1 - - [11/Jan/2018:12:57:03 +0530] "GET /solution-01-lebens.com/images/gallery-img3.jpg HTTP/1.1" 200 353650
127.0.0.1 - - [11/Jan/2018:12:57:04 +0530] "GET /solution-01-lebens.com/images/home-bg.jpg HTTP/1.1" 200 138735
127.0.0.1 - - [11/Jan/2018:12:57:04 +0530] "GET /solution-01-lebens.com/images/footer-bg.jpg HTTP/1.1" 200 213347
127.0.0.1 - - [11/Jan/2018:12:57:04 +0530] "GET /solution-01-lebens.com/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464
127.0.0.1 - - [11/Jan/2018:12:57:05 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [11/Jan/2018:12:57:08 +0530] "GET /solution-01-lebens.com/oidcsso HTTP/1.1" 302 -
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/callback?code=a4f1ada6-df5a-3273-9670-1f9553012fce&session_state=052e49cd9df275be2a4f4c49c9d61a324509ba0b17e0829a44d4e40138a763b2.YaJpFfU7lUQD--o2J7wbfA HTTP/1.1" 200 12706
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/css/nivo_themes/default/default.css HTTP/1.1" 304 -
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/css/animate.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/css/style.css HTTP/1.1" 304 -
127.0.0.1 - admin [11/Jan/2018:13:19:49 +0530] "GET /solution-01-lebens.com/css/nivo-lightbox.css HTTP/1.1" 304 -
